Designator,Mid X,Mid Y,Layer,Rotation
A1,47.72,-46.66,T,180.00
A1,15.24,-46.66,T,180.00
A1,112.68,-46.66,T,180.00
A1,80.20,-46.66,T,180.00
A2,11.18,-16.43,B,270.00
A2,43.66,-16.43,B,270.00
A2,76.14,-16.43,B,270.00
A2,108.62,-16.43,B,270.00
A3,73.65,-41.78,B,270.00
A3,8.69,-41.78,B,270.00
A3,106.13,-41.78,B,270.00
A3,41.17,-41.78,B,270.00
C1,28.70,-20.49,B,270.00
C1,126.14,-20.49,B,270.00
C1,61.18,-20.49,B,270.00
C1,93.66,-20.49,B,270.00
C2,19.41,-48.84,B,270.00
C2,51.89,-48.84,B,270.00
C2,84.37,-48.84,B,270.00
C2,116.85,-48.84,B,270.00
C3,57.48,-52.65,B,0.00
C3,89.96,-52.65,B,0.00
C3,122.44,-52.65,B,0.00
C3,25.00,-52.65,B,0.00
C4,54.69,-59.77,B,90.00
C4,22.21,-59.77,B,90.00
C4,87.17,-59.77,B,90.00
C4,119.65,-59.77,B,90.00
C5,51.89,-59.77,B,90.00
C5,84.37,-59.77,B,90.00
C5,116.85,-59.77,B,90.00
C5,19.41,-59.77,B,90.00
C6,85.53,-45.13,B,0.00
C6,53.05,-45.13,B,0.00
C6,118.01,-45.13,B,0.00
C6,20.57,-45.13,B,0.00
C7,24.89,-45.13,B,180.00
C7,89.85,-45.13,B,180.00
C7,122.33,-45.13,B,180.00
C7,57.37,-45.13,B,180.00
C8,93.66,-25.57,B,270.00
C8,61.18,-25.57,B,270.00
C8,28.70,-25.57,B,270.00
C8,126.14,-25.57,B,270.00
C9,92.14,-7.29,B,180.00
C9,59.66,-7.29,B,180.00
C9,124.62,-7.29,B,180.00
C9,27.18,-7.29,B,180.00
C10,87.57,-7.29,B,0.00
C10,55.09,-7.29,B,0.00
C10,120.05,-7.29,B,0.00
C10,22.61,-7.29,B,0.00
J1,124.06,-37.41,B,270.00
J1,26.62,-37.41,B,270.00
J1,91.58,-37.41,B,270.00
J1,59.10,-37.41,B,270.00
R1,85.39,-52.65,B,0.00
R1,20.43,-52.65,B,0.00
R1,52.91,-52.65,B,0.00
R1,117.87,-52.65,B,0.00
R2,28.70,-51.74,B,270.00
R2,61.18,-51.74,B,270.00
R2,126.14,-51.74,B,270.00
R2,93.66,-51.74,B,270.00
R3,118.12,-55.70,B,0.00
R3,85.64,-55.70,B,0.00
R3,20.68,-55.70,B,0.00
R3,53.16,-55.70,B,0.00
R4,28.70,-41.58,B,90.00
R4,61.18,-41.58,B,90.00
R4,93.66,-41.58,B,90.00
R4,126.14,-41.58,B,90.00
R5,25.15,-25.07,B,0.00
R5,57.63,-25.07,B,0.00
R5,122.59,-25.07,B,0.00
R5,90.11,-25.07,B,0.00
R6,20.57,-25.07,B,0.00
R6,53.05,-25.07,B,0.00
R6,85.53,-25.07,B,0.00
R6,118.01,-25.07,B,0.00
R8,59.66,-10.33,B,0.00
R8,27.18,-10.33,B,0.00
R8,92.14,-10.33,B,0.00
R8,124.62,-10.33,B,0.00
R9,55.09,-10.33,B,180.00
R9,22.61,-10.33,B,180.00
R9,87.57,-10.33,B,180.00
R9,120.05,-10.33,B,180.00
R10,19.56,-19.48,B,180.00
R10,84.52,-19.48,B,180.00
R10,52.04,-19.48,B,180.00
R10,117.00,-19.48,B,180.00
R11,20.57,-42.34,B,180.00
R11,53.05,-42.34,B,180.00
R11,85.53,-42.34,B,180.00
R11,118.01,-42.34,B,180.00
R12,89.85,-42.34,B,180.00
R12,57.37,-42.34,B,180.00
R12,122.33,-42.34,B,180.00
R12,24.89,-42.34,B,180.00
R13,61.18,-46.66,B,270.00
R13,28.70,-46.66,B,270.00
R13,93.66,-46.66,B,270.00
R13,126.14,-46.66,B,270.00
RV1,23.99,-48.84,B,180.00
RV1,121.43,-48.84,B,180.00
RV1,56.47,-48.84,B,180.00
RV1,88.95,-48.84,B,180.00
U1,89.60,-21.00,B,270.00
U1,24.64,-21.00,B,270.00
U1,57.12,-21.00,B,270.00
U1,122.08,-21.00,B,270.00
U2,124.22,-58.24,B,180.00
U2,91.74,-58.24,B,180.00
U2,26.78,-58.24,B,180.00
U2,59.26,-58.24,B,180.00
